11	16	Điều dưỡng chăm sóc mẹ và bé tại nhà khu vực Thanh Khê, Đà Nẵng. Hồ sơ đã được CareMate xác minh.	Chăm sóc mẹ sau sinh, chăm bé sơ sinh	Chứng chỉ điều dưỡng; Chứng nhận chăm sóc tại nhà	7	6	4.20	t	verified	2026-05-20 04:11:45.928333+00	\N	approved	2026-05-27 04:11:45.92833+00	2026-05-27 04:11:45.92833+00
12	17	Điều dưỡng chăm sóc mẹ và bé tại nhà khu vực Thanh Khê, Đà Nẵng. Hồ sơ đã được CareMate xác minh.	Tắm bé, hỗ trợ cho bú	Chứng chỉ điều dưỡng; Chứng nhận chăm sóc tại nhà	10	7	4.90	t	verified	2026-05-20 04:11:47.689611+00	\N	approved	2026-05-27 04:11:47.689591+00	2026-05-27 04:11:47.689591+00
13	18	Điều dưỡng chăm sóc mẹ và bé tại nhà khu vực Thanh Khê, Đà Nẵng. Hồ sơ đã được CareMate xác minh.	Phục hồi sau sinh, tư vấn dinh dưỡng	Chứng chỉ điều dưỡng; Chứng nhận chăm sóc tại nhà	1	6	4.60	t	verified	2026-05-20 04:11:48.612261+00	\N	approved	2026-05-27 04:11:48.612259+00	2026-05-27 04:11:48.612259+00
14	19	Điều dưỡng chăm sóc mẹ và bé tại nhà khu vực Thanh Khê, Đà Nẵng. Hồ sơ đã được CareMate xác minh.	Chăm sóc mẹ sau sinh, chăm bé sơ sinh	Chứng chỉ điều dưỡng; Chứng nhận chăm sóc tại nhà	4	8	4.30	t	verified	2026-05-20 04:11:50.106105+00	\N	approved	2026-05-27 04:11:50.106103+00	2026-05-27 04:11:50.106103+00
17	22	Điều dưỡng chăm sóc mẹ và bé tại nhà khu vực Sơn Trà, Đà Nẵng. Hồ sơ đã được CareMate xác minh.	Chăm sóc mẹ sau sinh, chăm bé sơ sinh	Chứng chỉ điều dưỡng; Chứng nhận chăm sóc tại nhà	1	7	4.40	t	verified	2026-05-20 04:11:52.702372+00	\N	approved	2026-05-27 04:11:52.70237+00	2026-05-27 04:11:52.70237+00
18	23	Điều dưỡng chăm sóc mẹ và bé tại nhà khu vực Sơn Trà, Đà Nẵng. Hồ sơ đã được CareMate xác minh.	Tắm bé, hỗ trợ cho bú	Chứng chỉ điều dưỡng; Chứng nhận chăm sóc tại nhà	4	7	4.10	t	verified	2026-05-20 04:11:53.702351+00	\N	approved	2026-05-27 04:11:53.702348+00	2026-05-27 04:11:53.702348+00
19	24	Điều dưỡng chăm sóc mẹ và bé tại nhà khu vực Sơn Trà, Đà Nẵng. Hồ sơ đã được CareMate xác minh.	Phục hồi sau sinh, tư vấn dinh dưỡng	Chứng chỉ điều dưỡng; Chứng nhận chăm sóc tại nhà	7	6	4.80	t	verified	2026-05-20 04:11:54.502363+00	\N	approved	2026-05-27 04:11:54.502361+00	2026-05-27 04:11:54.502361+00
20	25	Điều dưỡng chăm sóc mẹ và bé tại nhà khu vực Sơn Trà, Đà Nẵng. Hồ sơ đã được CareMate xác minh.	Chăm sóc mẹ sau sinh, chăm bé sơ sinh	Chứng chỉ điều dưỡng; Chứng nhận chăm sóc tại nhà	10	6	4.50	t	verified	2026-05-20 04:11:55.426361+00	\N	approved	2026-05-27 04:11:55.426358+00	2026-05-27 04:11:55.426358+00
21	26	Điều dưỡng chăm sóc mẹ và bé tại nhà khu vực Sơn Trà, Đà Nẵng. Hồ sơ đã được CareMate xác minh.	Tắm bé, hỗ trợ cho bú	Chứng chỉ điều dưỡng; Chứng nhận chăm sóc tại nhà	1	8	4.20	t	verified	2026-05-20 04:11:57.006763+00	\N	approved	2026-05-27 04:11:57.00676+00	2026-05-27 04:11:57.00676+00
22	27	Điều dưỡng chăm sóc mẹ và bé tại nhà khu vực Sơn Trà, Đà Nẵng. Hồ sơ đã được CareMate xác minh.	Phục hồi sau sinh, tư vấn dinh dưỡng	Chứng chỉ điều dưỡng; Chứng nhận chăm sóc tại nhà	4	10	4.90	t	verified	2026-05-20 04:11:57.817409+00	\N	approved	2026-05-27 04:11:57.817406+00	2026-05-27 04:11:57.817406+00
24	29	Điều dưỡng chăm sóc mẹ và bé tại nhà khu vực Ngũ Hành Sơn, Đà Nẵng. Hồ sơ đã được CareMate xác minh.	Tắm bé, hỗ trợ cho bú	Chứng chỉ điều dưỡng; Chứng nhận chăm sóc tại nhà	10	8	4.30	t	verified	2026-05-20 04:11:59.716475+00	\N	approved	2026-05-27 04:11:59.716473+00	2026-05-27 04:11:59.716473+00
25	30	Điều dưỡng chăm sóc mẹ và bé tại nhà khu vực Ngũ Hành Sơn, Đà Nẵng. Hồ sơ đã được CareMate xác minh.	Phục hồi sau sinh, tư vấn dinh dưỡng	Chứng chỉ điều dưỡng; Chứng nhận chăm sóc tại nhà	1	9	4.00	t	verified	2026-05-20 04:12:00.52166+00	\N	approved	2026-05-27 04:12:00.521658+00	2026-05-27 04:12:00.521658+00
33	38	Điều dưỡng chăm sóc mẹ và bé tại nhà khu vực Liên Chiểu, Đà Nẵng. Hồ sơ đã được CareMate xác minh.	Tắm bé, hỗ trợ cho bú	Chứng chỉ điều dưỡng; Chứng nhận chăm sóc tại nhà	1	9	4.60	t	verified	2026-05-20 04:12:09.302449+00	\N	approved	2026-05-27 04:12:09.302446+00	2026-05-27 04:12:09.302446+00
39	44	Điều dưỡng chăm sóc mẹ và bé tại nhà khu vực Cẩm Lệ, Đà Nẵng. Hồ sơ đã được CareMate xác minh.	Tắm bé, hỗ trợ cho bú	Chứng chỉ điều dưỡng; Chứng nhận chăm sóc tại nhà	7	7	4.80	t	verified	2026-05-20 04:12:16.210512+00	\N	approved	2026-05-27 04:12:16.210509+00	2026-05-27 04:12:16.210509+00
44	49	Điều dưỡng chăm sóc mẹ và bé tại nhà khu vực Hòa Vang, Đà Nẵng. Hồ sơ đã được CareMate xác minh.	Chăm sóc mẹ sau sinh, chăm bé sơ sinh	Chứng chỉ điều dưỡng; Chứng nhận chăm sóc tại nhà	10	12	4.30	t	verified	2026-05-20 04:12:21.417276+00	\N	approved	2026-05-27 04:12:21.417273+00	2026-05-27 04:12:21.417274+00
27	32	Điều dưỡng chăm sóc mẹ và bé tại nhà khu vực Ngũ Hành Sơn, Đà Nẵng. Hồ sơ đã được CareMate xác minh.	Tắm bé, hỗ trợ cho bú	Chứng chỉ điều dưỡng; Chứng nhận chăm sóc tại nhà	7	8	4.40	t	verified	2026-05-20 04:12:03.202936+00	\N	approved	2026-05-27 04:12:03.202934+00	2026-05-27 04:12:03.202934+00
28	33	Điều dưỡng chăm sóc mẹ và bé tại nhà khu vực Ngũ Hành Sơn, Đà Nẵng. Hồ sơ đã được CareMate xác minh.	Phục hồi sau sinh, tư vấn dinh dưỡng	Chứng chỉ điều dưỡng; Chứng nhận chăm sóc tại nhà	10	7	4.10	t	verified	2026-05-20 04:12:04.137862+00	\N	approved	2026-05-27 04:12:04.13786+00	2026-05-27 04:12:04.13786+00
29	34	Điều dưỡng chăm sóc mẹ và bé tại nhà khu vực Liên Chiểu, Đà Nẵng. Hồ sơ đã được CareMate xác minh.	Chăm sóc mẹ sau sinh, chăm bé sơ sinh	Chứng chỉ điều dưỡng; Chứng nhận chăm sóc tại nhà	1	9	4.80	t	verified	2026-05-20 04:12:05.012636+00	\N	approved	2026-05-27 04:12:05.012634+00	2026-05-27 04:12:05.012634+00
30	35	Điều dưỡng chăm sóc mẹ và bé tại nhà khu vực Liên Chiểu, Đà Nẵng. Hồ sơ đã được CareMate xác minh.	Tắm bé, hỗ trợ cho bú	Chứng chỉ điều dưỡng; Chứng nhận chăm sóc tại nhà	4	9	4.50	t	verified	2026-05-20 04:12:06.304899+00	\N	approved	2026-05-27 04:12:06.304896+00	2026-05-27 04:12:06.304896+00
31	36	Điều dưỡng chăm sóc mẹ và bé tại nhà khu vực Liên Chiểu, Đà Nẵng. Hồ sơ đã được CareMate xác minh.	Phục hồi sau sinh, tư vấn dinh dưỡng	Chứng chỉ điều dưỡng; Chứng nhận chăm sóc tại nhà	7	8	4.20	t	verified	2026-05-20 04:12:07.242355+00	\N	approved	2026-05-27 04:12:07.242353+00	2026-05-27 04:12:07.242353+00
32	37	Điều dưỡng chăm sóc mẹ và bé tại nhà khu vực Liên Chiểu, Đà Nẵng. Hồ sơ đã được CareMate xác minh.	Chăm sóc mẹ sau sinh, chăm bé sơ sinh	Chứng chỉ điều dưỡng; Chứng nhận chăm sóc tại nhà	10	9	4.90	t	verified	2026-05-20 04:12:08.235459+00	\N	approved	2026-05-27 04:12:08.235457+00	2026-05-27 04:12:08.235457+00
34	39	Điều dưỡng chăm sóc mẹ và bé tại nhà khu vực Liên Chiểu, Đà Nẵng. Hồ sơ đã được CareMate xác minh.	Phục hồi sau sinh, tư vấn dinh dưỡng	Chứng chỉ điều dưỡng; Chứng nhận chăm sóc tại nhà	4	9	4.30	t	verified	2026-05-20 04:12:10.324355+00	\N	approved	2026-05-27 04:12:10.324352+00	2026-05-27 04:12:10.324352+00
35	40	Điều dưỡng chăm sóc mẹ và bé tại nhà khu vực Cẩm Lệ, Đà Nẵng. Hồ sơ đã được CareMate xác minh.	Chăm sóc mẹ sau sinh, chăm bé sơ sinh	Chứng chỉ điều dưỡng; Chứng nhận chăm sóc tại nhà	7	7	4.00	t	verified	2026-05-20 04:12:11.8192+00	\N	approved	2026-05-27 04:12:11.819198+00	2026-05-27 04:12:11.819198+00
36	41	Điều dưỡng chăm sóc mẹ và bé tại nhà khu vực Cẩm Lệ, Đà Nẵng. Hồ sơ đã được CareMate xác minh.	Tắm bé, hỗ trợ cho bú	Chứng chỉ điều dưỡng; Chứng nhận chăm sóc tại nhà	10	7	4.70	t	verified	2026-05-20 04:12:12.617033+00	\N	approved	2026-05-27 04:12:12.617031+00	2026-05-27 04:12:12.617031+00
37	42	Điều dưỡng chăm sóc mẹ và bé tại nhà khu vực Cẩm Lệ, Đà Nẵng. Hồ sơ đã được CareMate xác minh.	Phục hồi sau sinh, tư vấn dinh dưỡng	Chứng chỉ điều dưỡng; Chứng nhận chăm sóc tại nhà	1	8	4.40	t	verified	2026-05-20 04:12:14.413269+00	\N	approved	2026-05-27 04:12:14.413267+00	2026-05-27 04:12:14.413267+00
38	43	Điều dưỡng chăm sóc mẹ và bé tại nhà khu vực Cẩm Lệ, Đà Nẵng. Hồ sơ đã được CareMate xác minh.	Chăm sóc mẹ sau sinh, chăm bé sơ sinh	Chứng chỉ điều dưỡng; Chứng nhận chăm sóc tại nhà	4	8	4.10	t	verified	2026-05-20 04:12:15.221766+00	\N	approved	2026-05-27 04:12:15.221761+00	2026-05-27 04:12:15.221761+00
40	45	Điều dưỡng chăm sóc mẹ và bé tại nhà khu vực Cẩm Lệ, Đà Nẵng. Hồ sơ đã được CareMate xác minh.	Phục hồi sau sinh, tư vấn dinh dưỡng	Chứng chỉ điều dưỡng; Chứng nhận chăm sóc tại nhà	10	7	4.50	t	verified	2026-05-20 04:12:17.016477+00	\N	approved	2026-05-27 04:12:17.016475+00	2026-05-27 04:12:17.016475+00
41	46	Điều dưỡng chăm sóc mẹ và bé tại nhà khu vực Hòa Vang, Đà Nẵng. Hồ sơ đã được CareMate xác minh.	Chăm sóc mẹ sau sinh, chăm bé sơ sinh	Chứng chỉ điều dưỡng; Chứng nhận chăm sóc tại nhà	1	12	4.20	t	verified	2026-05-20 04:12:18.015246+00	\N	approved	2026-05-27 04:12:18.015244+00	2026-05-27 04:12:18.015244+00
42	47	Điều dưỡng chăm sóc mẹ và bé tại nhà khu vực Hòa Vang, Đà Nẵng. Hồ sơ đã được CareMate xác minh.	Tắm bé, hỗ trợ cho bú	Chứng chỉ điều dưỡng; Chứng nhận chăm sóc tại nhà	4	12	4.90	t	verified	2026-05-20 04:12:19.507227+00	\N	approved	2026-05-27 04:12:19.507224+00	2026-05-27 04:12:19.507224+00
43	48	Điều dưỡng chăm sóc mẹ và bé tại nhà khu vực Hòa Vang, Đà Nẵng. Hồ sơ đã được CareMate xác minh.	Phục hồi sau sinh, tư vấn dinh dưỡng	Chứng chỉ điều dưỡng; Chứng nhận chăm sóc tại nhà	7	15	4.60	t	verified	2026-05-20 04:12:20.512608+00	\N	approved	2026-05-27 04:12:20.512606+00	2026-05-27 04:12:20.512606+00
45	50	Điều dưỡng chăm sóc mẹ và bé tại nhà khu vực Hòa Vang, Đà Nẵng. Hồ sơ đã được CareMate xác minh.	Tắm bé, hỗ trợ cho bú	Chứng chỉ điều dưỡng; Chứng nhận chăm sóc tại nhà	1	10	4.00	t	verified	2026-05-20 04:12:22.707002+00	\N	approved	2026-05-27 04:12:22.707+00	2026-05-27 04:12:22.707+00
1	4	7 năm kinh nghiệm tại khoa sản và chăm sóc mẹ bé tại nhà.	Chăm sóc mẹ sau sinh, chăm bé sơ sinh	Cử nhân Điều dưỡng; Chứng chỉ chăm sóc sơ sinh	7	15	4.80	t	verified	2026-05-17 07:46:01.983758+00	\N	approved	2026-05-24 07:46:01.983594+00	2026-05-27 03:35:20.265275+00
3	6	Điều dưỡng mới đang chờ xác minh hồ sơ.	Chăm sóc mẹ sau sinh	Ứng viên điều dưỡng	2	10	0.00	t	unverified	\N	\N	draft	2026-05-24 07:46:02.192724+00	2026-05-24 07:46:02.192724+00
26	31	Điều dưỡng chăm sóc mẹ và bé tại nhà khu vực Ngũ Hành Sơn, Đà Nẵng. Hồ sơ đã được CareMate xác minh.	Chăm sóc mẹ sau sinh, chăm bé sơ sinh	Chứng chỉ điều dưỡng; Chứng nhận chăm sóc tại nhà	4	7	4.70	t	verified	2026-05-20 04:12:01.419099+00	\N	approved	2026-05-27 04:12:01.419096+00	2026-05-27 04:12:01.419096+00
46	51	Điều dưỡng chăm sóc mẹ và bé tại nhà khu vực Hòa Vang, Đà Nẵng. Hồ sơ đã được CareMate xác minh.	Phục hồi sau sinh, tư vấn dinh dưỡng	Chứng chỉ điều dưỡng; Chứng nhận chăm sóc tại nhà	4	11	4.70	t	verified	2026-05-20 04:12:24.815638+00	\N	approved	2026-05-27 04:12:24.815636+00	2026-05-27 04:12:24.815636+00
2	5	5 năm kinh nghiệm chăm bé sơ sinh và hỗ trợ chăm bé ban đêm.	Chăm bé ban đêm, chăm sóc sơ sinh	Chứng chỉ hành nghề điều dưỡng; Chứng nhận sơ cứu trẻ sơ sinh	5	12	4.60	t	verified	2026-05-17 07:46:02.190437+00	\N	approved	2026-05-24 07:46:02.190435+00	2026-06-09 04:48:36.836514+00
47	55	chuyên nghiệp, tận tâm	\N	\N	0	10	0.00	t	unverified	\N	\N	submitted	2026-06-12 03:29:00.63386+00	2026-06-12 03:31:08.999186+00
48	63		\N	\N	0	10	0.00	t	unverified	\N	\N	draft	2026-06-22 08:55:44.847304+00	2026-06-22 08:55:44.847304+00
\.


